stop_lat,stop_lon,stop_id,stop_code,stop_name,zone_id,stop_url
41.17244,-8.58749,BRRS1,BRRS1,BARROCAS,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRRS1
41.171884,-8.587983,BRRS2,BRRS2,BARROCAS,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRRS2
41.181239,-8.636582,BRSE1,BRSE1,BR. STO. EUGÉNIO,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRSE1
41.181501,-8.636394,BRSE2,BRSE2,BR. STO. EUGÉNIO,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRSE2
41.182306,-8.690417,BRTC1,BRTC1,BRITO CAPELO,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRTC1
41.181681,-8.690307,BRTC2,BRTC2,BRITO CAPELO,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRTC2
41.181797,-8.690372,BRTC4,BRTC4,BRITO CAPELO,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRTC4
41.178556,-8.688833,BRTC5,BRTC5,BRITO CAPELO,MTS1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRTC5
41.167065,-8.65999,BRV1,BRV1,BAIRRO VILARINHA,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRV1
41.167205,-8.660068,BRV2,BRV2,BAIRRO VILARINHA,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRV2
41.166094,-8.659405,BRV3,BRV3,BAIRRO DA VILARINHA,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRV3
41.166139,-8.65975,BRV4,BRV4,BAIRRO DA VILARINHA,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRV4
41.181341,-8.648274,BRVS,BRVS,BAIRRO DO VISO,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRVS
41.156403,-8.62793,BS1,BS1,BOAVISTA - B.SUCESSO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BS1
41.15574,-8.62841,BS10,BS10,BOAVISTA (BOM SUCESSO),PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BS10
41.155301,-8.628261,BS2,BS2,BOAVISTA - B.SUCESSO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BS2
41.155962,-8.62856,BS5,BS5,BOAVISTA-B.SUCESSO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BS5
41.156031,-8.628628,BS7,BS7,BOAVISTA - B.SUCESSO,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BS7
41.1557,-8.628376,BS9,BS9,BOAVISTA (BOM SUCESSO),PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BS9
41.163368,-8.615675,BSB,BSB,SAPADOR. BOMBEIROS,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BSB
41.179116,-8.637501,BSEE1,BSEE1,BR. STO.EUGÉNIO (ESCOLA),PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BSEE1
41.179088,-8.637382,BSEE2,BSEE2,BR.STO.EUGÉNIO (ESCOLA),PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BSEE2
